node,x,y,p1
n54,43.2389984,-89.2916031,-15.40132673
n55,43.2113991,-89.2805023,-15.74053105
n56,43.1817017,-89.5662003,-17.23039439
n57,43.1757011,-89.5598984,-17.47150825
n58,43.1832008,-89.5538025,-17.31965208
n59,43.1701012,-89.5677032,-17.436185
n60,43.2052002,-89.5856018,-17.44467805
n61,43.2067986,-89.5863037,-17.48380621
n62,43.2117996,-89.5792007,-17.34035894
n63,43.1534996,-89.5519028,-17.40904094
n64,43.1405983,-89.5477982,-17.77588578
n65,43.1389008,-89.5539017,-17.78525427
n66,43.1297989,-89.5431976,-18.1487786
n67,43.1263008,-89.5513992,-18.20759255
n68,43.1394997,-89.5828018,-17.90538478
n69,43.1242981,-89.5355988,-18.38712351
n70,43.1228981,-89.5306015,-18.41695066
n71,43.1263008,-89.5169983,-18.06937254
n72,43.1293983,-89.4878998,-17.53784687
n73,43.1360016,-89.4901962,-17.40052312
n74,43.1399994,-89.5052032,-17.67231058
n75,43.1408997,-89.5356979,-17.8626247
n76,43.1486015,-89.5262985,-17.64578193
n77,43.1553993,-89.5304031,-17.56073669
n78,43.1519012,-89.5138016,-17.54411604
n79,43.1489983,-89.4925003,-17.24468423
n80,43.1484985,-89.4857025,-17.18991075
n81,43.1576004,-89.4906998,-17.02608411
n82,43.1371994,-89.4744034,-17.18936211
n83,43.1633987,-89.4853973,-17.00485708
n84,43.1635017,-89.490303,-17.09069198
n85,43.1629982,-89.520401,-17.57119623
n86,43.1762009,-89.5140991,-17.43677594
n87,43.1660995,-89.5354004,-17.73127941
n88,43.1707001,-89.5366974,-17.74424436
n89,43.1744995,-89.5409012,-17.60892655
n90,43.1773987,-89.5261993,-17.6203651
n91,43.1804008,-89.5279007,-17.56045461
n92,43.1785011,-89.5472031,-17.49325543
n93,43.1908989,-89.5143967,-17.18667411
n94,43.1913986,-89.5082016,-17.30288442
n95,43.1767998,-89.4833984,-17.02613691
n96,43.1801987,-89.4834976,-17.02468629
n97,43.2262993,-89.5859985,-17.21788609
n98,43.2167015,-89.5633011,-17.05343633
n99,43.2186012,-89.5201035,-17.53633367
n100,43.2188988,-89.4841003,-17.04059823
n101,43.2192993,-89.4787979,-16.91173145
n102,43.2139015,-89.4787979,-16.84954712
n103,43.2144012,-89.4497986,-16.21910944
n104,43.2071991,-89.4354019,-16.00861238
n105,43.2075005,-89.4244995,-15.90779351
n106,43.2074013,-89.4147034,-16.05414307
n107,43.225399,-89.4225998,-16.16263466
n108,43.2275009,-89.4402008,-16.13834817
n109,43.2242012,-89.4461975,-16.20164146
n110,43.2290001,-89.4532013,-16.42653728
n111,43.2265015,-89.4605026,-16.53081408
n112,43.2305984,-89.4702988,-16.80352035
n113,43.2271996,-89.4910965,-17.21312782
n114,43.2233009,-89.4953003,-17.2441624
n115,43.223999,-89.4994965,-17.34038149
n116,43.2232018,-89.507103,-17.48247717
n117,43.2308006,-89.5151978,-17.77479202
n118,43.2331009,-89.5223999,-17.87804309
n119,43.2299995,-89.5406036,-17.50578836
n120,43.2237015,-89.5258026,-17.55936477
n121,43.2249985,-89.547699,-17.28010197
n122,43.2361984,-89.5394974,-17.57014052
n123,43.2421989,-89.5285034,-17.74468291
n124,43.2396011,-89.5149002,-17.80409995
n125,43.2425995,-89.5072021,-17.66294449
n126,43.2416,-89.4819031,-17.05173052
n127,43.2405014,-89.4778976,-17.04184358
n128,43.2389984,-89.4828033,-17.08110743
n129,43.2363014,-89.4637985,-16.67373553
n130,43.2495995,-89.4677963,-16.98178228
n131,43.2509995,-89.4654007,-16.98034733
n132,43.2639999,-89.4701004,-17.23338866
n133,43.2668991,-89.4732971,-17.26663094
n134,43.2714996,-89.461998,-17.0468874
n135,43.2509995,-89.4849014,-17.10604365
n136,43.1721001,-89.4093018,-15.97310433
n137,43.2061996,-89.4910965,-17.21753974
n138,43.1985016,-89.5158997,-17.20893556
n139,43.2391014,-89.4505005,-16.51012786
n140,43.2495995,-89.4573975,-16.80991141
n141,43.2672997,-89.419899,-16.0398649
n142,43.2717018,-89.4229965,-16.12038939
n143,43.2831001,-89.4509964,-16.68317499
n144,43.2882004,-89.450798,-16.6274897
n145,43.2545013,-89.4505997,-16.75108929
n146,43.2602005,-89.4029999,-15.73543395
n147,43.2733994,-89.3263016,-15.61699085
n148,43.2765999,-89.3035965,-15.84709095
n149,43.2681999,-89.2957993,-15.87112947
n150,43.2755013,-89.2863998,-16.05429492
n151,43.2748985,-89.2835007,-16.00731794
n152,43.2481003,-89.392601,-15.81133569
n153,43.1949005,-89.3887024,-15.8092853
n154,43.2190018,-89.4064026,-15.96300025
n155,43.2200012,-89.4132004,-16.00576029
n156,43.2327003,-89.4228973,-16.24412704
n157,43.2249985,-89.4007034,-16.08325939
n158,43.2388,-89.3188019,-14.93367625
n159,43.2537994,-89.3167038,-15.39445307
n160,43.2456017,-89.4372025,-16.5203354
n161,43.2153015,-89.3125,-14.99303339
n162,43.1935005,-89.3290024,-15.46772227
n163,43.2235985,-89.2497025,-15.66252211
n164,43.2246017,-89.2434998,-15.59515187
n165,43.2246017,-89.2553024,-15.61429804
n166,43.2318993,-89.2662964,-15.69038747
n167,43.2172012,-89.2781982,-15.65399451
n168,43.2223015,-89.2819977,-15.50361682
n169,43.2263985,-89.2979965,-15.17333503
n170,43.2550011,-89.2838974,-15.85519556
n171,43.2389984,-89.2774963,-15.64644685
n172,43.2490005,-89.2640991,-15.96174326
n173,43.25,-89.254097,-15.87052736
n174,43.2677994,-89.2730026,-16.2412723
n175,43.1925011,-89.5501022,-17.02357953
n176,43.196701,-89.530899,-17.21773334
n177,43.1393013,-89.5586014,-17.76757181
n178,43.1792984,-89.5178986,-17.47935661
n179,43.178299,-89.4965973,-17.03220983
n180,43.2064018,-89.5212021,-17.28324431
n181,43.2025986,-89.5406036,-16.92251902
n182,43.2169991,-89.5840988,-17.41894429
n183,43.232399,-89.5010986,-17.49675538
n184,43.214901,-89.3760986,-15.77487816
n185,43.2369003,-89.3796005,-15.81434512
n186,43.2700005,-89.346199,-15.77716425
n187,43.2038994,-89.292099,-15.48667933
n188,43.1282997,-89.4730988,-17.42169739
n189,43.1525993,-89.471199,-16.91216605
n190,43.1599007,-89.5000992,-17.26558734
n191,43.1641006,-89.4777985,-16.81952874
n192,43.169899,-89.4971008,-17.1597421
n193,43.1864014,-89.5758972,-17.08973443
n194,43.2069016,-89.5643997,-16.97291496
n195,43.2470016,-89.5035019,-17.53334814
n196,43.2565994,-89.441803,-16.55474
n197,43.2088013,-89.3968964,-16.02116345
n198,43.2331009,-89.3785019,-15.76893644
n199,43.277401,-89.3097992,-15.69495062
n200,43.2498016,-89.2911987,-15.60848147
n201,43.2346001,-89.3013,-15.12816994
n202,43.2226982,-89.2975998,-15.19244221
n203,43.2033997,-89.414299,-15.98755032
n204,43.2921,-89.3664,-15.77177966
n205,43.292,-89.3733,-15.92797259
n206,43.2904,-89.3764,-16.01973123
n207,43.2917,-89.4049,-16.24230978
n208,43.2912,-89.431,-16.5499582
n209,43.2908,-89.3802,-15.92702341
n210,43.2903,-89.4184,-16.28902614
n211,43.2913,-89.4116,-16.28680649
n212,43.2869,-89.4166,-16.17665718
n213,43.2897,-89.4442,-16.53647574
n214,43.28,-89.2807,-15.96086125
n215,43.2876,-89.4397,-16.4863134
n216,43.2879,-89.4681,-16.8227146
n217,43.2851,-89.4133,-16.07708187
n218,43.287,-89.4057,-16.08520795
n219,43.2781,-89.2769,-16.07219101
n220,43.2872,-89.4341,-16.42907477
n221,43.2856,-89.4447,-16.62057885
n222,43.2799,-89.3299,-15.65259306
n223,43.279,-89.3072,-15.77713236
n224,43.2773,-89.2925,-15.98124427
n225,43.2848,-89.4398,-16.56671108
n226,43.284,-89.4335,-16.53621028
n227,43.2769,-89.2825,-16.02237628
n228,43.2779,-89.2723,-15.9621969
n229,43.285,-89.4495,-16.73818434
n230,43.2806,-89.3811,-16.26607792
n231,43.2776,-89.2866,-16.12408129
n232,43.2841,-89.3752,-16.11174683
n233,43.279,-89.3206,-15.56697319
n234,43.2758,-89.295,-15.9126071
n235,43.2774,-89.3127,-15.76500743
n236,43.2817,-89.4126,-16.1103277
n237,43.2824,-89.4428,-16.67435219
n238,43.2816,-89.434,-16.46019017
n239,43.2742,-89.2982,-15.95635256
n240,43.2769,-89.3652,-16.17110747
n241,43.2756,-89.3388,-15.91055855
n242,43.2801,-89.4055,-16.07753695
n243,43.2776,-89.3703,-16.25629525
n244,43.281,-89.4542,-16.75363577
n245,43.2815,-89.4493,-16.75022428
n246,43.2778,-89.3803,-16.23602889
n247,43.2775,-89.3756,-16.24895604
n248,43.2736,-89.2701,-16.07790668
n249,43.2756,-89.3498,-15.98226625
n250,43.2827,-89.4632,-16.97817443
n251,43.2839,-89.4579,-16.8505608
n252,43.2727,-89.2874,-16.12300588
n253,43.2828,-89.467,-16.88634932
n254,43.2788,-89.388,-16.14397005
n255,43.2834,-89.4712,-16.98970786
n256,43.2861,-89.3931,-16.01447589
n257,43.2722,-89.2969,-15.89295541
n258,43.2711,-89.2685,-16.16939933
n259,43.2771,-89.403,-15.98305019
n260,43.275,-89.3756,-16.28907441
n261,43.269,-89.2534,-16.13499941
n262,43.2774,-89.4117,-15.96604045
n263,43.2699,-89.2605,-16.03737428
n264,43.2683,-89.2588,-16.01117594
n265,43.2768,-89.419,-16.14346247
n266,43.273,-89.3402,-15.95293361
n267,43.2683,-89.2677,-16.13146548
n268,43.2785,-89.4699,-17.03969551
n269,43.2727,-89.3457,-15.84420801
n270,43.2688,-89.2721,-16.20156033
n271,43.274,-89.3706,-16.31535862
n272,43.275,-89.3309,-15.7187249
n273,43.2696,-89.2836,-16.10856568
n274,43.272,-89.2787,-16.15248972
n275,43.2724,-89.3508,-15.89760406
n276,43.2692,-89.2873,-16.01821611
n277,43.278,-89.4581,-16.88711992
n278,43.2779,-89.4406,-16.51590395
n279,43.2719,-89.3555,-16.00989073
n280,43.2667,-89.2587,-16.03966295
n281,43.2666,-89.2663,-16.09213983
n282,43.2772,-89.4723,-17.11193972
n283,43.2696,-89.2998,-15.8354474
n284,43.2744,-89.4295,-16.30117708
n285,43.2738,-89.4055,-15.87748479
n286,43.2739,-89.3939,-15.93117238
n287,43.2729,-89.3895,-15.97735696
n288,43.2734,-89.3841,-16.09264243
n289,43.2724,-89.3601,-16.12222546
n290,43.2747,-89.4491,-16.71814782
n291,43.2742,-89.4242,-16.20762322
n292,43.2698,-89.3272,-15.73834689
n293,43.2751,-89.4567,-16.88508448
n294,43.2723,-89.3129,-15.59575985
n295,43.275,-89.4747,-17.1509261
n296,43.2658,-89.272,-16.17494233
n297,43.2722,-89.3769,-16.22822422
n298,43.273,-89.4492,-16.73455438
n299,43.2715,-89.3671,-16.21118421
n300,43.2653,-89.3023,-15.68736376
n301,43.2723,-89.4296,-16.2811134
n302,43.2657,-89.297,-15.79484786
n303,43.2733,-89.4152,-15.99881541
n304,43.2684,-89.3588,-15.98587171
n305,43.2642,-89.2602,-15.97975649
n306,43.2731,-89.4567,-16.90919688
n307,43.27,-89.388,-15.95571593
n308,43.2671,-89.3319,-15.70684806
n309,43.2743,-89.4668,-17.13045822
n310,43.2704,-89.4095,-15.83086286
n311,43.2651,-89.2918,-15.89797113
n312,43.2731,-89.4748,-17.21399969
n313,43.2734,-89.4365,-16.43379514
n314,43.2707,-89.424,-16.15875673
n315,43.2703,-89.4044,-15.75838073
n316,43.2677,-89.3749,-16.17170493
n317,43.2654,-89.311,-15.53114579
n318,43.2621,-89.2522,-15.95935868
n319,43.266,-89.3544,-15.86918843
n320,43.2652,-89.3162,-15.65693029
n321,43.262,-89.2622,-15.98467392
n322,43.2662,-89.3366,-15.72727026
n323,43.2709,-89.3986,-15.78283203
n324,43.2712,-89.4714,-17.25459209
n325,43.269,-89.4268,-16.21228557
n326,43.2665,-89.3409,-15.76515934
n327,43.2643,-89.2871,-15.9956832
n328,43.2704,-89.4507,-16.7909144
n329,43.2699,-89.4336,-16.37917734
n330,43.262,-89.2967,-15.84941237
n331,43.2656,-89.3752,-16.10370833
n332,43.2664,-89.3676,-16.05545973
n333,43.2684,-89.38,-16.08160822
n334,43.2642,-89.3269,-15.55244083
n335,43.2614,-89.292,-15.88893528
n336,43.2705,-89.4765,-17.26811736
n337,43.2668,-89.3862,-15.94091385
n338,43.2655,-89.3938,-15.76383035
n339,43.2641,-89.3608,-15.92236773
n340,43.2647,-89.3454,-15.7154138
n341,43.2636,-89.3049,-15.68691239
n342,43.2605,-89.3016,-15.72100872
n343,43.2667,-89.3968,-15.71725925
n344,43.2618,-89.3129,-15.52828345
n345,43.2695,-89.4665,-17.16691538
n346,43.2667,-89.4245,-16.14821596
n347,43.2665,-89.4045,-15.66757321
n348,43.2676,-89.4542,-16.86552736
n349,43.2666,-89.4089,-15.77390767
n350,43.2677,-89.415,-15.92401924
n351,43.265,-89.4251,-16.16119316
n352,43.2594,-89.3129,-15.44866998
n353,43.2592,-89.3042,-15.64684515
n354,43.2612,-89.3298,-15.66372858
n355,43.2584,-89.2771,-16.04518598
n356,43.2661,-89.4333,-16.35827237
n357,43.2611,-89.3366,-15.55809163
n358,43.2697,-89.4424,-16.58916427
n359,43.2625,-89.3743,-15.99860126
n360,43.2667,-89.4502,-16.7669805
n361,43.2685,-89.448,-16.7188681
n362,43.2623,-89.3524,-15.76062022
n363,43.2582,-89.3133,-15.46531946
n364,43.2656,-89.454,-16.84902969
n365,43.2621,-89.3797,-16.07581352
n366,43.2607,-89.3404,-15.58117461
n367,43.2682,-89.461,-17.03098032
n368,43.269,-89.4566,-16.92725609
n369,43.2634,-89.4143,-15.90725386
n370,43.2601,-89.3213,-15.58742658
n371,43.2627,-89.3841,-16.00913086
n372,43.2574,-89.3041,-15.62457391
n373,43.266,-89.4671,-17.14876015
n374,43.257,-89.3129,-15.42435656
n375,43.2568,-89.2822,-15.92654293
n376,43.2626,-89.4104,-15.8168533
n377,43.2627,-89.4044,-15.70547986
n378,43.264,-89.4644,-17.10371802
n379,43.2615,-89.364,-15.87111481
n380,43.2599,-89.3752,-16.08400594
n381,43.2609,-89.4001,-15.66163658
n382,43.2624,-89.393,-15.82389744
n383,43.2572,-89.2632,-15.91755926
n384,43.2635,-89.4541,-16.86210975
n385,43.2624,-89.4356,-16.4189211
n386,43.2624,-89.4244,-16.14847712
n387,43.2604,-89.4072,-15.80744204
n388,43.2625,-89.4189,-16.02221244
n389,43.2578,-89.3423,-15.47458566
n390,43.2632,-89.4489,-16.73828885
n391,43.2631,-89.442,-16.57226253
n392,43.2627,-89.4657,-17.14357931
n393,43.2583,-89.3775,-16.09209841
n394,43.2571,-89.2738,-16.01456111
n395,43.2628,-89.4592,-16.98744302
n396,43.2601,-89.4156,-15.94032807
n397,43.2552,-89.3065,-15.54072773
n398,43.2618,-89.2818,-16.04694713
n399,43.2546,-89.2864,-15.80531832
n400,43.2551,-89.3155,-15.44648113
n401,43.2543,-89.2918,-15.71120432
n402,43.2594,-89.3944,-15.80804998
n403,43.2571,-89.2955,-15.7245809
n404,43.2586,-89.3997,-15.73854232
n405,43.2606,-89.4412,-16.55537925
n406,43.2533,-89.3064,-15.47765411
n407,43.2516,-89.2525,-15.80490811
n408,43.2584,-89.4161,-15.99800007
n409,43.2514,-89.2598,-15.91776712
n410,43.2513,-89.2631,-15.99300863
n411,43.2565,-89.3857,-15.98365147
n412,43.2605,-89.4313,-16.31854829
n413,43.2515,-89.3127,-15.36649622
n414,43.2595,-89.4487,-16.74020019
n415,43.2549,-89.3595,-15.67003348
n416,43.2614,-89.4745,-17.35917195
n417,43.2592,-89.4785,-17.35796761
n418,43.2577,-89.4442,-16.617911
n419,43.2539,-89.3691,-15.9043295
n420,43.2505,-89.2961,-15.54790007
n421,43.25,-89.288,-15.66250027
n422,43.2478,-89.261,-15.87693083
n423,43.2558,-89.43,-16.27205664
n424,43.2477,-89.2576,-15.89265275
n425,43.256,-89.435,-16.3894533
n426,43.2508,-89.3194,-15.27552801
n427,43.2569,-89.4391,-16.49290734
n428,43.2563,-89.4258,-16.21711469
n429,43.2561,-89.423,-16.14914418
n430,43.257,-89.4763,-17.30089756
n431,43.2492,-89.3128,-15.29016173
n432,43.2488,-89.3016,-15.41228735
n433,43.2473,-89.2521,-15.80346429
n434,43.2561,-89.4541,-16.85090835
n435,43.255,-89.3927,-15.80736715
n436,43.2567,-89.3732,-15.97658892
n437,43.2494,-89.2782,-15.83266847
n438,43.2493,-89.282,-15.74079302
n439,43.2501,-89.3257,-15.28498471
n440,43.2475,-89.2907,-15.55698488
n441,43.2452,-89.2595,-15.88914909
n442,43.2515,-89.3908,-15.93221568
n443,43.254,-89.3995,-15.70624997
n444,43.2501,-89.3036,-15.42090758
n445,43.2464,-89.3013,-15.36283335
n446,43.2523,-89.4324,-16.34990992
n447,43.2488,-89.3083,-15.3295331
n448,43.246,-89.2951,-15.4587256
n449,43.2522,-89.4201,-16.05271314
n450,43.2548,-89.4102,-15.96612034
n451,43.2517,-89.4181,-16.10380235
n452,43.2469,-89.315,-15.21705479
n453,43.2529,-89.4276,-16.23224303
n454,43.2511,-89.4319,-16.30831045
n455,43.2526,-89.4391,-16.48924603
n456,43.2494,-89.4036,-15.80920522
n457,43.2442,-89.2776,-15.66740104
n458,43.2523,-89.444,-16.57625606
n459,43.2514,-89.4481,-16.67971726
n460,43.2462,-89.3211,-15.13001416
n461,43.2524,-89.4562,-16.85553207
n462,43.2481,-89.3793,-15.88747372
n463,43.2474,-89.2699,-15.87037888
n464,43.2575,-89.4634,-17.06745178
n465,43.2419,-89.2799,-15.58050799
n466,43.2437,-89.2923,-15.44301702
n467,43.2537,-89.4764,-17.21406258
n468,43.2513,-89.4725,-17.09070534
n469,43.2438,-89.3109,-15.15921208
n470,43.2436,-89.3041,-15.24834623
n471,43.2428,-89.2468,-15.60678078
n472,43.2429,-89.321,-15.02051897
n473,43.2477,-89.4064,-15.89728065
n474,43.2396,-89.2512,-15.62275493
n475,43.2406,-89.2611,-15.73173461
n476,43.2421,-89.2963,-15.33274542
n477,43.2404,-89.2667,-15.81339921
n478,43.2485,-89.4453,-16.5621108
n479,43.2483,-89.4429,-16.58985318
n480,43.2402,-89.2759,-15.59097696
n481,43.2378,-89.2497,-15.67308728
n482,43.2483,-89.4386,-16.4949483
n483,43.2485,-89.4563,-16.76481736
n484,43.247,-89.3862,-15.74610716
n485,43.2401,-89.2906,-15.40260744
n486,43.2417,-89.2849,-15.55022179
n487,43.2449,-89.3884,-15.77979425
n488,43.2444,-89.3787,-15.79966855
n489,43.2485,-89.4659,-16.92321934
n490,43.2404,-89.3136,-15.02891414
n491,43.2453,-89.3995,-15.71252217
n492,43.2446,-89.3693,-15.67426818
n493,43.24,-89.3012,-15.21859864
n494,43.2363,-89.2397,-15.49481556
n495,43.2399,-89.3066,-15.1171663
n496,43.2397,-89.3045,-15.1501668
n497,43.2399,-89.3098,-15.06575231
n498,43.2422,-89.3844,-15.77080866
n499,43.2419,-89.3165,-15.04778932
n500,43.2366,-89.2606,-15.84599908
n501,43.2368,-89.2565,-15.78097037
n502,43.2357,-89.2482,-15.59455791
n503,43.2401,-89.3208,-14.96235168
n504,43.2456,-89.4566,-16.77127258
n505,43.244,-89.4188,-16.11067344
n506,43.2475,-89.4838,-17.20622355
n507,43.2355,-89.2521,-15.66622294
n508,43.2444,-89.4337,-16.47096187
n509,43.2414,-89.3756,-15.69340304
n510,43.2405,-89.3693,-15.53826183
n511,43.2462,-89.4956,-17.40964129
n512,43.2441,-89.4526,-16.66256148
n513,43.2446,-89.4431,-16.55797468
n514,43.2447,-89.463,-16.78937439
n515,43.2477,-89.4753,-17.01326224
n516,43.2449,-89.4656,-16.84382952
n517,43.2448,-89.4704,-16.95986304
n518,43.2447,-89.4678,-16.89740225
n519,43.2462,-89.5073,-17.62889657
n520,43.2457,-89.4482,-16.6570447
n521,43.2363,-89.3107,-14.96325499
n522,43.233,-89.2427,-15.62611715
n523,43.2456,-89.5031,-17.58084576
n524,43.2447,-89.4835,-17.11305872
n525,43.2363,-89.3132,-14.92132559
n526,43.2407,-89.4047,-15.84899435
n527,43.2416,-89.3976,-15.83740568
n528,43.2365,-89.321,-14.8428337
n529,43.2364,-89.3265,-14.83720098
n530,43.2357,-89.282,-15.55833664
n531,43.2428,-89.3925,-15.90090676
n532,43.2444,-89.4981,-17.45399077
n533,43.243,-89.4588,-16.6732698
n534,43.2372,-89.3515,-15.26310175
n535,43.2439,-89.5079,-17.6313488
n536,43.2446,-89.513,-17.71069216
n537,43.2409,-89.4347,-16.3559395
n538,43.2398,-89.4133,-15.97732159
n539,43.2387,-89.3785,-15.74898903
n540,43.2302,-89.2387,-15.49205222
n541,43.2372,-89.3727,-15.67513561
n542,43.236,-89.3403,-14.98951942
n543,43.2344,-89.2864,-15.44394806
n544,43.2433,-89.5025,-17.54696871
n545,43.242,-89.4853,-17.13488206
n546,43.2348,-89.2913,-15.33748901
n547,43.2412,-89.4627,-16.77245884
n548,43.2411,-89.4558,-16.65433712
n549,43.2388,-89.3862,-15.8907585
n550,43.2439,-89.4783,-17.09268262
n551,43.2296,-89.2435,-15.57600188
n552,43.2374,-89.3925,-15.93644099
n553,43.2347,-89.3507,-15.17794719
n554,43.2337,-89.3064,-15.00299609
n555,43.2346,-89.2963,-15.21646804
n556,43.2404,-89.441,-16.40969722
n557,43.2367,-89.3994,-15.99452477
n558,43.2327,-89.3109,-14.89051773
n559,43.2342,-89.3164,-14.81855829
n560,43.2307,-89.2528,-15.72076991
n561,43.24,-89.4846,-17.13578028
n562,43.2395,-89.4478,-16.5767141
n563,43.2358,-89.3587,-15.37470105
n564,43.2329,-89.3214,-14.72925892
n565,43.2344,-89.3019,-15.1122428
n566,43.2324,-89.2608,-15.82426322
n567,43.2291,-89.2471,-15.57313236
n568,43.2421,-89.5311,-17.80751504
n569,43.2368,-89.3665,-15.52471455
n570,43.2385,-89.455,-16.56594902
n571,43.2386,-89.4173,-16.0774333
n572,43.2373,-89.4264,-16.17669899
n573,43.2388,-89.4861,-17.16104729
n574,43.2373,-89.434,-16.23532713
n575,43.2412,-89.5158,-17.8422163
n576,43.2326,-89.3369,-14.87867147
n577,43.23,-89.3061,-14.94595322
n578,43.2416,-89.5384,-17.63033281
n579,43.2293,-89.2852,-15.42473146
n580,43.2268,-89.2445,-15.67197763
n581,43.2369,-89.442,-16.42911667
n582,43.2319,-89.353,-15.26848085
n583,43.229,-89.2886,-15.35450857
n584,43.2294,-89.2936,-15.23293243
n585,43.2395,-89.4713,-16.87907104
n586,43.2397,-89.4687,-16.82227376
n587,43.2383,-89.4649,-16.71936728
n588,43.2378,-89.4783,-16.96965301
n589,43.2401,-89.4745,-16.95892181
n590,43.2394,-89.5035,-17.55999023
n591,43.2341,-89.424,-16.29766305
n592,43.2341,-89.4186,-16.16715567
n593,43.2329,-89.2748,-15.60363867
n594,43.2372,-89.4836,-17.08062873
n595,43.2291,-89.3182,-14.68285243
n596,43.2263,-89.2517,-15.71800871
n597,43.2396,-89.4924,-17.2916668
n598,43.2259,-89.2592,-15.71788631
n599,43.2385,-89.499,-17.45528366
n600,43.2359,-89.4585,-16.57528844
n601,43.2399,-89.5339,-17.75282965
n602,43.2384,-89.5183,-17.88830373
n603,43.2276,-89.2795,-15.45692822
n604,43.2266,-89.277,-15.38799474
n605,43.2338,-89.4381,-16.28962277
n606,43.2277,-89.2821,-15.51655301
n607,43.2393,-89.5113,-17.71652637
n608,43.2316,-89.4092,-16.0688594
n609,43.2311,-89.4041,-15.99435286
n610,43.2337,-89.4498,-16.37833656
n611,43.233,-89.4133,-16.17829423
n612,43.2263,-89.3162,-14.74629062
n613,43.2389,-89.5231,-17.86749474
n614,43.2278,-89.3097,-14.8866571
n615,43.2388,-89.5272,-17.76835802
n616,43.2371,-89.5317,-17.76093913
n617,43.2312,-89.3757,-15.68541209
n618,43.2348,-89.5137,-17.81155127
n619,43.2342,-89.4891,-17.24497981
n620,43.2249,-89.301,-15.09294529
n621,43.2344,-89.5005,-17.49226002
n622,43.2337,-89.4745,-16.90354048
n623,43.2337,-89.4665,-16.78194536
n624,43.2321,-89.3977,-16.15255162
n625,43.2261,-89.3135,-14.80803048
n626,43.2299,-89.4134,-16.18498306
n627,43.2253,-89.3205,-14.69645702
n628,43.2253,-89.291,-15.28717142
n629,43.2343,-89.508,-17.67290661
n630,43.2228,-89.2956,-15.24090025
n631,43.2342,-89.5237,-17.87832896
n632,43.2325,-89.431,-16.3708956
n633,43.2292,-89.3288,-14.67676261
n634,43.2262,-89.3689,-15.48214019
n635,43.2303,-89.4242,-16.32974946
n636,43.2218,-89.2479,-15.73639898
n637,43.2221,-89.2871,-15.39183232
n638,43.2302,-89.4469,-16.32337465
n639,43.2316,-89.508,-17.64666454
n640,43.227,-89.4038,-16.13055237
n641,43.2302,-89.4581,-16.55144939
n642,43.2264,-89.3636,-15.35386155
n643,43.2328,-89.4825,-17.07884609
n644,43.2296,-89.4385,-16.21920938
n645,43.2272,-89.4191,-16.18987541
n646,43.2272,-89.4149,-16.08835818
n647,43.2202,-89.243,-15.74166527
n648,43.2325,-89.4796,-17.03306791
n649,43.2302,-89.4752,-16.90218555
n650,43.2316,-89.4856,-17.12417362
n651,43.222,-89.3307,-14.87780661
n652,43.2217,-89.3186,-14.78610651
n653,43.2201,-89.2524,-15.61387077
